Round Type;Date;EID;Resolver;Request_SRC;Request_DST;Request_FOR;Reply_SRC;RTT;LOCATOR_Count;MAPPING_ENTRY;TTL;AUTH;MOBILE;Result;Action
RoundNormal;2013/07/03 15:30:31;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;217.8.98.42;0.01700;1;153.16.49.112/29;10;0;0;0;192.168.1.66;up;1;100
RoundNoReply;2013/07/03 16:00:39;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;*** No map-reply received ***
RoundNoReply;2013/07/03 16:30:20;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;*** No map-reply received ***
NegativeReply;2013/07/03 17:00:27;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07200;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 17:30:08;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07100;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 18:00:51;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01400;0;153.16.49.112/28;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 18:30:33;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.06900;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 19:00:15;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 19:30:01;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.06900;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 20:00:45;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 20:30:27;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01400;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 21:00:09;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07200;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 21:30:52;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07000;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 22:00:33;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07100;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 22:30:15;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07000;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 23:00:56;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 23:30:39;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;1.07300;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
