Round Type;Date;EID;Resolver;Request_SRC;Request_DST;Request_FOR;Reply_SRC;RTT;LOCATOR_Count;MAPPING_ENTRY;TTL;AUTH;MOBILE;Result;Action
NegativeReply;2013/07/03 16:30:21;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.23800;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 17:00:09;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/32;0;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 17:30:57;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 18:00:44;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07700;0;153.16.22.216/32;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 18:30:31;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24400;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 19:00:18;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24500;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 19:30:06;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24800;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 20:00:54;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07800;0;153.16.22.216/32;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 20:30:41;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07700;0;153.16.22.216/32;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 21:00:28;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24800;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 21:30:17;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/32;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 22:00:05;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24800;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 22:30:52;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24800;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 23:00:39;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24800;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 23:30:26;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24800;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 00:00:14;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24800;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 00:30:02;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 01:00:49;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24800;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 01:30:46;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07800;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 02:00:33;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 02:30:20;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07700;0;153.16.22.216/32;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 03:00:08;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24800;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 03:30:56;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/32;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 04:00:43;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24700;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 04:30:31;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24800;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 05:00:19;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07800;0;153.16.22.216/32;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 05:30:06;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/32;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 06:00:53;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24900;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 06:30:40;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24700;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 07:00:27;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24800;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 07:30:14;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/32;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 08:00:02;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24800;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 08:30:50;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24900;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 09:00:37;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/32;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 09:30:19;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07700;0;153.16.22.216/32;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 10:00:58;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24800;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 10:30:38;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/32;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 11:00:17;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24800;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 11:30:56;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24900;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 12:00:35;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/32;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 12:30:15;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 13:00:54;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 13:30:34;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07700;0;153.16.22.216/32;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 14:00:13;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24800;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 14:30:53;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/32;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 15:00:33;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24900;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
RoundNormal;2013/07/04 15:30:12;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;217.8.97.6;0.16200;2;153.16.22.216/32;10;0;0;0;132.227.85.238;up;1;100;1;2001:660:3302:2826:6cac:405f:8937:719c;up;1;100
NegativeReply;2013/07/04 16:00:52;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24800;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 16:30:31;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24800;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 17:00:10;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07700;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 17:30:50;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24700;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 18:00:30;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24900;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 18:30:10;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07700;0;153.16.22.216/32;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 19:00:51;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07700;0;153.16.22.216/32;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 19:30:31;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24800;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 20:00:10;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24800;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 20:30:50;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24800;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 21:00:29;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24800;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 21:30:09;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 22:00:50;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24800;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 22:30:30;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24800;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 23:00:09;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07700;0;153.16.22.216/32;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 23:30:49;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.24800;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
