Round Type;Date;EID;Resolver;Request_SRC;Request_DST;Request_FOR;Reply_SRC;RTT;LOCATOR_Count;MAPPING_ENTRY;TTL;AUTH;MOBILE;Locator_Number;Locator_Addr;Locator_State;Locator_Priority;Locator_Weight
RoundNormal;2013/07/04 01:00:09;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.220.246;0.38900;1;153.16.18.176/28;60;1;0;0;122.177.220.246;up;1;100
RoundNormal;2013/07/04 01:30:58;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.220.246;0.39100;1;153.16.18.176/28;60;1;0;0;122.177.220.246;up;1;100
RoundNormal;2013/07/04 02:00:48;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.220.246;0.39200;1;153.16.18.176/28;60;1;0;0;122.177.220.246;up;1;100
RoundNormal;2013/07/04 02:30:35;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.220.246;0.38800;1;153.16.18.176/28;60;1;0;0;122.177.220.246;up;1;100
RoundNormal;2013/07/04 03:00:22;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.220.246;0.38900;1;153.16.18.176/28;60;1;0;0;122.177.220.246;up;1;100
RoundNormal;2013/07/04 03:30:12;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.220.246;0.38900;1;153.16.18.176/28;60;1;0;0;122.177.220.246;up;1;100
RoundNormal;2013/07/04 04:00:01;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.220.246;0.39100;1;153.16.18.176/28;60;1;0;0;122.177.220.246;up;1;100
RoundNormal;2013/07/04 04:30:57;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.220.246;0.39100;1;153.16.18.176/28;60;1;0;0;122.177.220.246;up;1;100
RoundNormal;2013/07/04 05:00:44;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.220.246;0.38800;1;153.16.18.176/28;60;1;0;0;122.177.220.246;up;1;100
NegativeReply;2013/07/04 05:30:34;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;149.20.48.61;0.21300;0;153.16.18.176/28;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 06:00:23;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;149.20.48.61;0.44800;0;153.16.18.176/28;1;0;0;"""Negative cache entry""";forward-native
RoundNormal;2013/07/04 06:30:10;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.173.117;0.43600;1;153.16.18.176/28;60;1;0;0;122.177.173.117;up;1;100
RoundNormal;2013/07/04 07:00:57;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.173.117;0.43700;1;153.16.18.176/28;60;1;0;0;122.177.173.117;up;1;100
RoundNormal;2013/07/04 07:30:46;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.173.117;0.43100;1;153.16.18.176/28;60;1;0;0;122.177.173.117;up;1;100
RoundNormal;2013/07/04 08:00:35;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.173.117;0.45500;1;153.16.18.176/28;60;1;0;0;122.177.173.117;up;1;100
RoundNormal;2013/07/04 08:30:22;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.173.117;0.43300;1;153.16.18.176/28;60;1;0;0;122.177.173.117;up;1;100
RoundNormal;2013/07/04 09:00:08;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.173.117;0.43800;1;153.16.18.176/28;60;1;0;0;122.177.173.117;up;1;100
RoundNormal;2013/07/04 09:30:58;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.173.117;0.41500;1;153.16.18.176/28;60;1;0;0;122.177.173.117;up;1;100
RoundNormal;2013/07/04 10:00:46;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.173.117;0.42200;1;153.16.18.176/28;60;1;0;0;122.177.173.117;up;1;100
RoundNormal;2013/07/04 10:30:33;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.173.117;0.41200;1;153.16.18.176/28;60;1;0;0;122.177.173.117;up;1;100
RoundNormal;2013/07/04 11:00:20;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.173.117;0.41100;1;153.16.18.176/28;60;1;0;0;122.177.173.117;up;1;100
RoundNormal;2013/07/04 11:30:10;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.173.117;0.42100;1;153.16.18.176/28;60;1;0;0;122.177.173.117;up;1;100
NegativeReply;2013/07/04 12:00:58;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;149.20.48.61;0.44500;0;153.16.18.176/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 12:30:45;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;149.20.48.61;0.44400;0;153.16.18.176/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/04 13:00:32;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;149.20.48.61;0.44900;0;153.16.18.176/28;1;0;0;"""Negative cache entry""";forward-native
